Kunden_ID,Versicherungsabschluss,Schadens_ID,Versicherungsart,Schadensmeldung,Schadensbetrag,Vorherige_Schaeden,Schadensort,BeteiligtePersonen,Betrug
K0393,2021-10-09,S00393,Kfz,2022-08-01,648,1,München,2,False
K0718,2021-10-10,S00718,Kfz,2023-10-04,4399,2,Leipzig,1,False
K0204,2023-04-01,S00204,Hausrat,2023-08-24,2688,0,Nürnberg,1,False
K0405,2021-04-21,S00405,Haftpflichtversicherung,2023-04-11,1250,1,Düsseldorf,1,False
K0038,2022-09-12,S00038,Kfz,2023-11-27,1669,2,Hamburg,1,False
K0037,2022-02-25,S00037,Haftpflichtversicherung,2023-06-05,2656,2,Dortmund,1,False
K0859,2021-07-04,S00859,Kfz,2021-09-15,2647,2,Bremen,2,False
K0528,2021-10-31,S00528,Hausrat,2023-10-05,2541,1,Essen,2,False
K0606,2023-02-03,S00606,Hausrat,2023-06-03,2883,2,Bremen,1,False
K0230,2021-02-27,S00230,Haftpflichtversicherung,2022-08-23,1705,0,München,2,False
K0752,2022-05-21,S00752,Haftpflichtversicherung,2022-12-10,2076,0,Nürnberg,2,False
K0744,2023-02-14,S00744,Kfz,2023-09-20,2067,1,Hannover,2,False
K0155,2022-06-06,S00155,Haftpflichtversicherung,2022-10-02,4187,0,Dortmund,2,False
K0101,2023-02-14,S00101,Haftpflichtversicherung,2023-11-20,2719,0,Essen,3,False
K0242,2023-01-14,S00242,Haftpflichtversicherung,2023-05-10,1074,0,Stuttgart,2,False
K0003,2021-09-29,S00003,Haftpflichtversicherung,2023-07-25,4702,0,Frankfurt,2,False
K0724,2022-06-21,S00724,Kfz,2022-11-21,3844,1,Hannover,2,False
K0292,2021-07-06,S00292,Haftpflichtversicherung,2022-04-05,3835,2,Stuttgart,2,False
K0275,2021-11-07,S00275,Kfz,2022-04-02,1451,1,Frankfurt,1,False
K0461,2022-11-27,S00461,Kfz,2023-01-03,3430,0,Nürnberg,3,False
K0090,2023-01-17,S00090,Kfz,2023-02-17,2073,0,Frankfurt,1,False
K0251,2023-04-29,S00251,Haftpflichtversicherung,2023-06-11,1454,2,Düsseldorf,2,False
K0473,2021-10-16,S00473,Kfz,2022-08-27,1682,0,Hannover,2,False
K0416,2023-01-11,S00416,Hausrat,2023-11-12,1438,0,Essen,1,False
K0209,2022-05-22,S00209,Kfz,2023-12-26,1327,2,Düsseldorf,2,False
K0969,2021-07-07,S00969,Kfz,2021-08-05,8539,1,Leipzig,2,True
K0720,2021-10-13,S00720,Hausrat,2023-01-06,3446,0,München,3,False
K0649,2022-08-13,S00649,Haftpflichtversicherung,2022-10-16,2387,1,Stuttgart,1,False
K0996,2022-10-30,S00996,Hausrat,2022-11-17,5443,3,Leipzig,1,True
K0457,2022-03-25,S00457,Hausrat,2023-01-31,4353,1,Stuttgart,2,False
K0576,2023-02-11,S00576,Kfz,2023-09-06,1855,2,Essen,2,False
K0132,2022-07-27,S00132,Kfz,2023-05-02,1752,0,München,3,False
K0940,2021-03-29,S00940,Hausrat,2021-04-26,6479,1,Dresden,1,True
K0468,2022-03-30,S00468,Kfz,2023-10-04,3542,2,Frankfurt,1,False
K0435,2022-12-05,S00435,Hausrat,2023-08-15,4607,1,Nürnberg,3,False
K0456,2022-02-07,S00456,Hausrat,2023-05-02,890,1,Dresden,1,False
K0866,2022-06-03,S00866,Kfz,2022-08-25,4505,0,Dresden,2,False
K0137,2022-08-23,S00137,Haftpflichtversicherung,2023-06-26,4727,2,Bremen,1,False
K0263,2021-06-30,S00263,Haftpflichtversicherung,2021-08-10,1188,2,Berlin,1,False
K0689,2023-04-10,S00689,Kfz,2023-11-18,4011,2,Hannover,1,False
K0870,2023-05-06,S00870,Haftpflichtversicherung,2023-11-11,4976,1,Leipzig,1,False
K0821,2021-09-02,S00821,Kfz,2022-07-30,1161,2,Leipzig,2,False
K0159,2022-04-20,S00159,Haftpflichtversicherung,2023-12-30,2470,0,Leipzig,3,False
K0623,2023-05-13,S00623,Kfz,2023-07-17,2074,0,Düsseldorf,1,False
K0994,2021-09-19,S00994,Hausrat,2021-10-17,6789,2,Essen,2,True
K0926,2022-11-29,S00926,Kfz,2022-12-26,8543,3,Leipzig,1,True
K0059,2022-11-26,S00059,Haftpflichtversicherung,2023-03-24,3063,0,Essen,2,False
K0477,2022-09-09,S00477,Hausrat,2023-08-21,3483,1,Hannover,1,False
